key,commonName,scientificName,fact1,fact2,fact3,imageUrl,hashtags,careLevel,aggression
rummyNoseTetra,"Rummy Nose Tetra","Hemigrammus rhodostomus","Thrives in 72-84°F water with pH 5.5-7","Needs 20+ gallon tank. School of 10+","A distinctive schooling tetra reaching 2 inches with brilliant red head, silver body, and horizontally striped black-...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FrummyNoseTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #rummynosetetra #peacefulfish #schoolingfish #southamericanfish",Moderate,Peaceful
emberTetra,"Ember Tetra","Hyphessobrycon amandae","Thrives in 68-82°F water with pH 5.5-7.5","Needs 10+ gallon tank. School of 6+","A tiny, vibrant nano fish reaching only 0",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FemberTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #embertetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
glowlightTetra,"Glowlight Tetra","Hemigrammus erythrozonus","Thrives in 75-82°F water with pH 5.5-7.5","Needs 10+ gallon tank. School of 6+","A peaceful tetra reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FglowlightTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #glowlighttetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
blackSkirtTetra,"Black Skirt Tetra","Gymnocorymbus ternetzi","Thrives in 68-79°F water with pH 6-8","Needs 20+ gallon tank. School of 6+","A hardy tetra reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FblackSkirtTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #blackskirttetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
cherryBarb,"Cherry Barb","Puntius titteya","Thrives in 68-81°F water with pH 6-8","Needs 15+ gallon tank. School of 6+","A peaceful, colorful cyprinid reaching 2 inches and endemic to Sri Lanka's Kelani and Nilwala river basins",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcherryBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #cherrybarb #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
tigerBarb,"Tiger Barb","Puntigrus tetrazona","Thrives in 68-79°F water with pH 6-7.5","Needs 20+ gallon tank. School of 8+ minimum","An active, boisterous schooling fish reaching 3 inches with distinctive gold body and four bold black vertical bands",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FtigerBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #tigerbarb #beginnerfish #schoolingfish #asianfish",Easy,Semi-aggressive
zebraDanio,"Zebra Danio","Danio rerio","Thrives in 64-77°F water with pH 6-8","Needs 10+ gallon tank. School of 6+","A small, active schooling fish reaching 2 inches with distinctive horizontal blue and gold stripes running the length...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FzebraDanio.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #zebradanio #peacefulfish #schoolingfish #asianfish",Very Easy,Peaceful
harlequinRasbora,"Harlequin Rasbora","Trigonostigma heteromorpha","Thrives in 70-82°F water with pH 5-7.5","Needs 10+ gallon tank. School of 8+","A distinctive schooling fish reaching 2 inches with pinkish-orange coloration and a bold black triangular wedge exten...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FharlequinRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #harlequinrasbora #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
chiliRasbora,"Chili Rasbora","Boraras brigittae","Thrives in 68-82°F water with pH 4-7","Needs 5+ gallon tank. School of 10+","A tiny, brilliant nano fish reaching only 0",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FchiliRasbora.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #chilirasbora #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
dwarfGourami,"Dwarf Gourami","Trichogaster lalius","Thrives in 72-82°F water with pH 6-7.5","Needs 10+ gallon tank. Pair or single","A small, colorful labyrinth fish reaching 2-3 inches with males displaying brilliant blue and red striped patterns",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FdwarfGourami.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #dwarfgourami #beginnerfish #asianfish",Easy,Semi-aggressive
honeyGourami,"Honey Gourami","Trichogaster chuna","Thrives in 72-82°F water with pH 6-7.5","Needs 10+ gallon tank. Group of 4+","A small, peaceful labyrinth fish reaching 2 inches with golden-honey coloration (males turning brilliant orange durin...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FhoneyGourami.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #honeygourami #peacefulfish #beginnerfish #asianfish",Easy,Peaceful
pearlGourami,"Pearl Gourami","Trichopodus leerii","Thrives in 75-86°F water with pH 5.5-8","Needs 30+ gallon tank. Group of 4+ or pair","A medium-sized labyrinth fish reaching 4-5 inches with stunning pearl-like white spots covering a golden-brown body",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FpearlGourami.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #pearlgourami #peacefulfish #beginnerfish #asianfish",Easy,Peaceful
sparklingGourami,"Sparkling Gourami","Trichopsis pumila","Thrives in 72-82°F water with pH 5-7.5","Needs 10+ gallon tank. Group of 4-6","A tiny, beautiful labyrinth fish reaching only 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FsparklingGourami.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #sparklinggourami #peacefulfish #asianfish",Moderate,Peaceful
germanBlueRam,"German Blue Ram","Mikrogeophagus ramirezi","Thrives in 78-86°F water with pH 5-7","Needs 20+ gallon tank. Pair or small group","A small, stunning dwarf cichlid reaching 2-3 inches with electric blue coloration and black markings",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FgermanBlueRam.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #germanblueram #peacefulfish #southamericanfish",Moderate,Peaceful
pandaCory,"Panda Cory","Corydoras panda","Thrives in 72-77°F water with pH 6-7.4","Needs 15+ gallon tank. Group of 6+","A small, distinctive catfish reaching 2 inches with white body and bold black markings on eyes, dorsal fin, and cauda...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FpandaCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #pandacory #peacefulfish #southamericanfish",Moderate,Peaceful
bronzeCory,"Bronze Cory","Corydoras aeneus","Thrives in 70-81°F water with pH 6-8","Needs 20+ gallon tank. Group of 5+","The classic wild-type corydoras reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbronzeCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #bronzecory #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
pygmyCory,"Pygmy Cory","Corydoras pygmaeus","Thrives in 72-79°F water with pH 6-7.5","Needs 10+ gallon tank. Group of 8+","A tiny catfish reaching only 1 inch with elongated body, horizontal black stripe, and more minnow-like swimming behav...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FpygmyCory.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #pygmycory #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
kuhliLoach,"Kuhli Loach","Pangio kuhlii","Thrives in 72-79°F water with pH 5.5-7","Needs 20+ gallon tank. Group of 5+","An elongated, eel-like bottom-dweller reaching 3-4 inches with distinctive yellow-orange and dark brown vertical bands",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FkuhliLoach.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #kuhliloach #peacefulfish #beginnerfish #asianfish",Easy,Peaceful
otocinclus,"Otocinclus Catfish","Otocinclus spp.","Thrives in 70-79°F water with pH 6-7.5","Needs 20+ gallon tank. School of 6+","A tiny algae-eating catfish reaching only 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2Fotocinclus.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #otocincluscatfish #peacefulfish #schoolingfish #southamericanfish",Moderate,Peaceful
bristlenosePleco,"Bristlenose Pleco","Ancistrus spp.","Thrives in 72-80°F water with pH 6.5-7.5","Needs 20+ gallon tank. Solitary","A compact algae-eating catfish reaching 4-6 inches, distinguished by distinctive bristle-like appendages on the head ...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbristlenosePleco.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #bristlenosepleco #peacefulfish #beginnerfish",Easy,Peaceful
clownPleco,"Clown Pleco","Panaqolus maccus","Thrives in 73-82°F water with pH 6.8-7.6","Needs 20+ gallon tank. Solitary","A small, colorful pleco reaching 3",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FclownPleco.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #clownpleco #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
rainbowShark,"Rainbow Shark","Epalzeorhynchos frenatum","Thrives in 72-79°F water with pH 6.5-7.5","Needs 55+ gallon tank. Solitary","A semi-aggressive freshwater shark reaching 6 inches with dark body and bright orange-red fins",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FrainbowShark.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #rainbowshark #asianfish",Moderate,Semi-aggressive
cherryShrimp,"Cherry Shrimp","Neocaridina davidi","Thrives in 65-82°F water with pH 6.5-8","Needs 5+ gallon tank. Colony of 10+","A small, colorful freshwater shrimp reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcherryShrimp.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #cherryshrimp #peacefulfish #beginnerfish #asianfish",Easy,Peaceful
amanoShrimp,"Amano Shrimp","Caridina multidentata","Thrives in 65-85°F water with pH 6.5-7.5","Needs 10+ gallon tank. Group of 5+","A large, transparent freshwater shrimp reaching 2 inches with distinctive dotted or dashed stripe pattern along sides",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FamanoShrimp.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #amanoshrimp #peacefulfish #beginnerfish #asianfish",Easy,Peaceful
ghostShrimp,"Ghost Shrimp","Palaemonetes paludosus","Thrives in 65-80°F water with pH 6.5-8","Needs 5+ gallon tank. Group of 5+","A transparent freshwater shrimp reaching 2 inches with nearly invisible body showing internal organs",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FghostShrimp.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #ghostshrimp #peacefulfish #beginnerfish",Easy,Peaceful
mysterySnail,"Mystery Snail","Pomacea bridgesii","Thrives in 68-84°F water with pH 7-8.4","Needs 5+ gallon tank. Solitary or pairs","A large, colorful freshwater snail reaching 2 inches with shells available in gold, blue, purple, and ivory varieties",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FmysterySnail.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #mysterysnail #peacefulfish #beginnerfish #southamericanfish",Easy,Peaceful
neriteSnail,"Nerite Snail","Neritina spp.","Thrives in 65-85°F water with pH 7-8.5","Needs 5+ gallon tank. Solitary","A small, beautifully patterned algae-eating snail reaching 1 inch with varieties including zebra, tiger, and horned p...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FneriteSnail.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #neritesnail #peacefulfish #beginnerfish #africanfish",Easy,Peaceful
blackNeonTetra,"Black Neon Tetra","Hyphessobrycon herbertaxelrodi","Thrives in 72-82°F water with pH 5.5-7.5","Needs 20+ gallon tank. School of 6+","A striking schooling fish reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FblackNeonTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #blackneontetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
buenosAiresTetra,"Buenos Aires Tetra","Hyphessobrycon anisitsi","Thrives in 64-82°F water with pH 5.5-8.5","Needs 30+ gallon tank. School of 6+","A large, silver tetra reaching 3 inches with red-tipped fins and subtle horizontal stripe",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbuenosAiresTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #buenosairestetra #beginnerfish #schoolingfish #southamericanfish",Easy,Semi-aggressive
bloodfinTetra,"Bloodfin Tetra","Aphyocharax anisitsi","Thrives in 64-82°F water with pH 6-8","Needs 20+ gallon tank. School of 6+","A sleek, active tetra reaching 2 inches with silver body and distinctive blood-red fins",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FbloodfinTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #bloodfintetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
congoTetra,"Congo Tetra","Phenacogrammus interruptus","Thrives in 73-82°F water with pH 6-7.5","Needs 30+ gallon tank. School of 6+","A large, stunning schooling tetra reaching 3 inches with males displaying iridescent rainbow colors and flowing finnage",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FcongoTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #congotetra #peacefulfish #schoolingfish #africanfish",Moderate,Peaceful
lemonTetra,"Lemon Tetra","Hyphessobrycon pulchripinnis","Thrives in 70-82°F water with pH 6-7.5","Needs 10+ gallon tank. School of 6+","A peaceful tetra reaching 2 inches with lemon-yellow coloration and black-edged fins with bright yellow tips",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FlemonTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #lemontetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
serpaeTetra,"Serpae Tetra","Hyphessobrycon eques","Thrives in 72-82°F water with pH 5-7.8","Needs 20+ gallon tank. School of 6+","A small, blood-red tetra reaching 1",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FserpaeTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #serpaetetra #beginnerfish #schoolingfish #southamericanfish",Easy,Semi-aggressive
diamondTetra,"Diamond Tetra","Moenkhausia pittieri","Thrives in 72-82°F water with pH 6-7.5","Needs 20+ gallon tank. School of 6-8+","A stunning tetra reaching 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FdiamondTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #diamondtetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
xRayTetra,"X-Ray Tetra","Pristella maxillaris","Thrives in 72-82°F water with pH 6-7.5","Needs 15+ gallon tank. School of 6+","A small, transparent tetra reaching 2 inches with silver translucent body revealing internal skeleton and distinctive...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FxRayTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #xraytetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
penguinTetra,"Penguin Tetra","Thayeria boehlkei","Thrives in 73-82°F water with pH 5.5-8","Needs 20+ gallon tank. School of 6+","A distinctive tetra reaching 3 inches with black and white coloration and characteristic swimming posture at an upwar...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FpenguinTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #penguintetra #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
silverDollar,"Silver Dollar","Metynnis argenteus","Thrives in 75-82°F water with pH 5-7","Needs 55+ gallon tank. School of 5-6+","A large, disc-shaped schooling fish reaching 6 inches with silver body resembling a coin",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FsilverDollar.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #silverdollar #peacefulfish #schoolingfish #southamericanfish",Moderate,Peaceful
greenNeonTetra,"Green Neon Tetra","Paracheirodon simulans","Thrives in 76-81°F water with pH 5-7","Needs 10+ gallon tank. School of 10+","A tiny tetra reaching 1 inch with brilliant neon-green stripe and less red than standard neon tetras",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FgreenNeonTetra.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #greenneontetra #peacefulfish #schoolingfish #southamericanfish",Moderate,Peaceful
rosyBarb,"Rosy Barb","Pethia conchonius","Thrives in 61-75°F water with pH 6-8","Needs 30+ gallon tank. School of 6+","A peaceful, hardy barb reaching 6 inches with males displaying rosy-red coloration especially during breeding",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FrosyBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #rosybarb #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
goldBarb,"Gold Barb","Barbodes semifasciolatus","Thrives in 61-75°F water with pH 6-8","Needs 20+ gallon tank. School of 6+","A small, peaceful barb reaching 3 inches with golden-yellow body and subtle dark markings",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FgoldBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #goldbarb #peacefulfish #schoolingfish #asianfish",Very Easy,Peaceful
odessaBarb,"Odessa Barb","Pethia padamya","Thrives in 70-79°F water with pH 6-7","Needs 20+ gallon tank. School of 6+","A striking barb reaching 3 inches with males developing brilliant red-orange lateral bands during maturity",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FodessaBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #odessabarb #beginnerfish #schoolingfish #asianfish",Easy,Semi-aggressive
denisonBarb,"Denison Barb","Sahyadria denisonii","Thrives in 59-77°F water with pH 6.5-7.8","Needs 55+ gallon tank. School of 6+","A large, spectacular barb reaching 6 inches with red horizontal stripe from nose to tail and black-and-yellow striped...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FdenisonBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #denisonbarb #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
fiveBandedBarb,"Five-Banded Barb","Desmopuntius pentazona","Thrives in 70-79°F water with pH 4-7","Needs 20+ gallon tank. School of 8+","A peaceful barb reaching 3 inches with five bold vertical black bands on golden body",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FfiveBandedBarb.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #fivebandedbarb #peacefulfish #schoolingfish #asianfish",Moderate,Peaceful
boesemansRainbowfish,"Boeseman's Rainbowfish","Melanotaenia boesemani","Thrives in 75-86°F water with pH 7-8","Needs 30+ gallon tank. School of 6+","A spectacular rainbowfish reaching 4",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FboesemansRainbowfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #boesemansrainbowfish #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
dwarfNeonRainbowfish,"Dwarf Neon Rainbowfish","Melanotaenia praecox","Thrives in 73-82°F water with pH 6.8-7.5","Needs 20+ gallon tank. School of 6+","A tiny rainbowfish reaching only 2",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FdwarfNeonRainbowfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #dwarfneonrainbowfish #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
turquoiseRainbowfish,"Turquoise Rainbowfish","Melanotaenia lacustris","Thrives in 68-77°F water with pH 7-9","Needs 30+ gallon tank. School of 6+","A stunning rainbowfish reaching 4 inches with males developing brilliant turquoise-blue coloration on upper body and ...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FturquoiseRainbowfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #turquoiserainbowfish #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
redRainbowfish,"Red Rainbowfish","Glossolepis incisus","Thrives in 72-82°F water with pH 7-8","Needs 40+ gallon tank. School of 6+","A large, spectacular rainbowfish reaching 6 inches with males developing intense cherry-red coloration and deep bodie...",https://firebasestorage.googleapis.com/v0/b/comparium-21b69.firebasestorage.app/o/images%2Fspecies%2FredRainbowfish.jpg?alt=media,"#fishtok #aquarium #fishkeeping #aquariumhobby #redrainbowfish #peacefulfish #beginnerfish #schoolingfish",Easy,Peaceful
